final: {"best_epoch": 7.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 114, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.00015541972235855184, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6714894628740601, "ndcg5": 0.5375996976812227, "primary": 0.6045445802776415, "runtime_s": 41.0, "timed_out": false}
epoch 0.5 | loss 0.6319 | lr 0.001 | valid primary 0.596865
epoch 1.0 | loss 0.5472 | lr 0.001 | valid primary 0.602422
epoch 1.5 | loss 0.5317 | lr 0.0005 | valid primary 0.603207
epoch 2.0 | loss 0.5323 | lr 0.0005 | valid primary 0.603965
epoch 2.5 | loss 0.5255 | lr 0.00025 | valid primary 0.603586
epoch 3.0 | loss 0.5287 | lr 0.00025 | valid primary 0.603849
epoch 3.5 | loss 0.5247 | lr 0.000125 | valid primary 0.604119
epoch 4.0 | loss 0.5250 | lr 0.000125 | valid primary 0.604192
epoch 4.5 | loss 0.5251 | lr 6.25e-05 | valid primary 0.604455
epoch 5.0 | loss 0.5231 | lr 6.25e-05 | valid primary 0.604186
epoch 5.5 | loss 0.5232 | lr 3.125e-05 | valid primary 0.604290
epoch 6.0 | loss 0.5236 | lr 3.125e-05 | valid primary 0.604387
epoch 6.5 | loss 0.5233 | lr 1.5625e-05 | valid primary 0.604489
epoch 7.0 | loss 0.5235 | lr 1.5625e-05 | valid primary 0.604471
epoch 7.5 | loss 0.5234 | lr 7.8125e-06 | valid primary 0.604464
epoch 8.0 | loss 0.5225 | lr 7.8125e-06 | valid primary 0.604472
